Comment,Designator,Footprint,LCSC
15V standoff,"D1,D4",D_SMB,C113989
1k,"R23,R24,R6,R7,R9",R_0402_1005Metric,C11702
100nf,"C1,C13,C14,C2,C3,C4,Cboot1",C_0402_1005Metric,C1525
MCP2515-xSO,"U12,U5",SOIC-18W_7.5x11.6mm_P1.27mm,C153782
33pf,"C15,C16,C5,C6",C_0402_1005Metric,C1562
TCA9517DR,U8,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C182421
EL817,"U2,U9",EasyEDA-C183799-smd-SOP-4_L6.5-W4.6-P2.54-LS10.2-TL,C183799
120R,"R11,R16",R_0402_1005Metric,C25079
470,R5,R_0402_1005Metric,C25117
100k,"R12,R13,R17,R18,Rfbt1",R_0402_1005Metric,C25741
10k,"R10,R8",R_0603_1608Metric,C25804
24K9 1%,Rfbb1,R_0402_1005Metric,C25874
1 uF,C9,C_0805_2012Metric,C28323
"8uH, 14m",L1,L_Bourns_SRP7028A_7.3x6.6mm,C408450
2k,"R19,R2,R20,R3,R4",R_0402_1005Metric,C4109
2.2k,R1,R_0603_1608Metric,C4190
10uf,Cin1,C_0805_2012Metric,C440198
22uF,"Cout1,Cout2,Cout3,Cout4",C_0805_2012Metric,C45783
30pf,"C17,C18",C_0402_1005Metric,C5182450
220nf,Chf1,C_0805_2012Metric,C5378
14.7456 Mhz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C557186
SC16IS752IPW,U14,TSSOP-28_4.4x9.7mm_P0.65mm,C57156
TXB0104PW,"U13,U3",TSSOP-14_4.4x5mm_P0.65mm,C60708
TJA1051T,"U11,U4",SOIC-8_3.9x4.9mm_P1.27mm,C6952
LMR33630ADDA,U7,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,C841384
12Mhz,"Y1,Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
Jumper_NO_Small,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Jumper_NO_Small,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
